  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      2.7308E-01      1.1438E+00      1.0436E+00      1.2108E+00      2.4374E-01      7.5126E+01      1.0600E+02      1.0000E+00
      2.5569E-01      1.1798E+00      1.0429E+00      1.3563E+00      2.1598E-01      7.5899E+01      1.0359E+02      1.0000E+00
      5.2640E-02      1.0789E+00      1.0262E+00      1.1935E+00      4.5306E-02      8.4256E+01      1.0212E+02      1.0000E+00
      8.2070E-02      1.4907E+00      1.3358E+00      1.9510E+00      5.2514E-02      5.2349E+01      1.2127E+02      1.0000E+00
      1.0848E-01      1.6961E+00      1.6017E+00      2.3133E+00      5.3888E-02      5.2678E+01      1.3661E+02      1.0000E+00
      8.1994E-02      1.4921E+00      1.3409E+00      1.9581E+00      5.2321E-02      5.2204E+01      1.2136E+02      1.0000E+00
      5.2384E-02      1.0813E+00      1.0259E+00      1.1977E+00      4.5113E-02      8.4448E+01      1.0199E+02      1.0000E+00
      1.0621E-01      1.7038E+00      1.6055E+00      2.2974E+00      5.3900E-02      5.1744E+01      1.3666E+02      1.0000E+00
      1.6716E-02      1.0772E+00      1.0256E+00      1.1023E+00      1.6250E-02      7.8044E+01      1.0162E+02      1.0000E+00
      1.5604E-02      1.0605E+00      1.0262E+00      1.0645E+00      1.5017E-02      7.8267E+01      1.0294E+02      1.0000E+00
      1.5787E-02      1.0538E+00      1.0141E+00      1.0693E+00      1.5331E-02      8.0970E+01      9.8745E+01      1.0000E+00
      1.6903E-02      1.0669E+00      1.0143E+00      1.1027E+00      1.6303E-02      8.2133E+01      9.9032E+01      1.0000E+00
      1.9765E-02      1.5074E+00      1.4037E+00      1.9528E+00      1.2914E-02      5.0524E+01      1.2512E+02      1.0000E+00
      1.2997E-02      1.0844E+00      1.0194E+00      1.2141E+00      1.1277E-02      8.2349E+01      9.7340E+01      1.0000E+00
      2.6172E-02      1.7125E+00      1.6272E+00      2.2891E+00      1.3143E-02      5.1311E+01      1.3754E+02      1.0000E+00
      1.2982E-02      1.0902E+00      1.0467E+00      1.1916E+00      1.1118E-02      8.0479E+01      1.0656E+02      1.0000E+00
      2.0680E-02      1.4480E+00      1.2660E+00      1.9213E+00      1.3045E-02      5.5307E+01      1.1620E+02      1.0000E+00
      2.6331E-02      1.7309E+00      1.6146E+00      2.3150E+00      1.3190E-02      5.1349E+01      1.3724E+02      1.0000E+00
      1.6721E-02      1.0775E+00      1.0256E+00      1.1027E+00      1.6254E-02      7.8036E+01      1.0163E+02      1.0000E+00
      1.5605E-02      1.0607E+00      1.0262E+00      1.0648E+00      1.5017E-02      7.8254E+01      1.0296E+02      1.0000E+00
      1.5785E-02      1.0536E+00      1.0141E+00      1.0691E+00      1.5330E-02      8.0966E+01      9.8746E+01      1.0000E+00
      1.6897E-02      1.0667E+00      1.0143E+00      1.1023E+00      1.6299E-02      8.2129E+01      9.9035E+01      1.0000E+00
      1.9796E-02      1.5103E+00      1.4066E+00      1.9567E+00      1.2917E-02      5.0412E+01      1.2524E+02      1.0000E+00
      1.2999E-02      1.0843E+00      1.0194E+00      1.2138E+00      1.1280E-02      8.2336E+01      9.7309E+01      1.0000E+00
      2.6197E-02      1.7111E+00      1.6256E+00      2.2887E+00      1.3185E-02      5.1314E+01      1.3745E+02      1.0000E+00
      1.2980E-02      1.0904E+00      1.0469E+00      1.1919E+00      1.1114E-02      8.0451E+01      1.0660E+02      1.0000E+00
      2.0645E-02      1.4454E+00      1.2640E+00      1.9175E+00      1.3041E-02      5.5430E+01      1.1608E+02      1.0000E+00
      2.6306E-02      1.7323E+00      1.6162E+00      2.3153E+00      1.3148E-02      5.1345E+01      1.3733E+02      1.0000E+00
      6.4184E-02      1.1467E+00      1.0388E+00      1.2697E+00      5.6428E-02      7.6056E+01      1.0415E+02      1.0000E+00
      6.5217E-02      1.1560E+00      1.0415E+00      1.2896E+00      5.6868E-02      7.5451E+01      1.0435E+02      1.0000E+00
      6.3250E-02      1.0425E+00      1.0032E+00      1.0629E+00      6.1111E-02      8.7076E+01      9.3694E+01      1.0000E+00
      6.7811E-02      1.0595E+00      1.0052E+00      1.1006E+00      6.5632E-02      8.6430E+01      9.2817E+01      1.0000E+00
      6.4861E-02      1.1586E+00      1.0393E+00      1.2895E+00      5.6395E-02      7.6165E+01      1.0424E+02      1.0000E+00
      6.4536E-02      1.1442E+00      1.0410E+00      1.2697E+00      5.6661E-02      7.5333E+01      1.0425E+02      1.0000E+00
      6.7838E-02      1.0593E+00      1.0053E+00      1.1005E+00      6.5667E-02      8.6322E+01      9.2910E+01      1.0000E+00
      6.3305E-02      1.0426E+00      1.0033E+00      1.0629E+00      6.1184E-02      8.6965E+01      9.3785E+01      1.0000E+00
      1.6716E-02      1.0772E+00      1.0256E+00      1.1023E+00      1.6250E-02      7.8044E+01      1.0162E+02      1.0000E+00
      1.5604E-02      1.0605E+00      1.0262E+00      1.0645E+00      1.5017E-02      7.8267E+01      1.0294E+02      1.0000E+00
      1.5787E-02      1.0538E+00      1.0141E+00      1.0693E+00      1.5331E-02      8.0970E+01      9.8745E+01      1.0000E+00
      1.6903E-02      1.0669E+00      1.0143E+00      1.1027E+00      1.6303E-02      8.2133E+01      9.9032E+01      1.0000E+00
      1.9765E-02      1.5074E+00      1.4037E+00      1.9528E+00      1.2914E-02      5.0523E+01      1.2512E+02      1.0000E+00
      1.2997E-02      1.0844E+00      1.0194E+00      1.2141E+00      1.1277E-02      8.2349E+01      9.7340E+01      1.0000E+00
      2.6173E-02      1.7125E+00      1.6272E+00      2.2891E+00      1.3143E-02      5.1312E+01      1.3754E+02      1.0000E+00
      1.2982E-02      1.0902E+00      1.0467E+00      1.1916E+00      1.1118E-02      8.0479E+01      1.0656E+02      1.0000E+00
      2.0680E-02      1.4480E+00      1.2660E+00      1.9213E+00      1.3045E-02      5.5307E+01      1.1620E+02      1.0000E+00
      2.6331E-02      1.7309E+00      1.6146E+00      2.3150E+00      1.3190E-02      5.1349E+01      1.3724E+02      1.0000E+00
      1.6721E-02      1.0775E+00      1.0256E+00      1.1027E+00      1.6254E-02      7.8036E+01      1.0163E+02      1.0000E+00
      1.5605E-02      1.0607E+00      1.0262E+00      1.0648E+00      1.5017E-02      7.8254E+01      1.0296E+02      1.0000E+00
      1.5785E-02      1.0536E+00      1.0141E+00      1.0691E+00      1.5330E-02      8.0966E+01      9.8746E+01      1.0000E+00
      1.6897E-02      1.0667E+00      1.0143E+00      1.1023E+00      1.6299E-02      8.2129E+01      9.9035E+01      1.0000E+00
      1.9796E-02      1.5103E+00      1.4066E+00      1.9567E+00      1.2917E-02      5.0412E+01      1.2524E+02      1.0000E+00
      1.2999E-02      1.0843E+00      1.0194E+00      1.2138E+00      1.1280E-02      8.2336E+01      9.7309E+01      1.0000E+00
      2.6197E-02      1.7111E+00      1.6256E+00      2.2887E+00      1.3185E-02      5.1314E+01      1.3745E+02      1.0000E+00
      1.2980E-02      1.0904E+00      1.0469E+00      1.1919E+00      1.1114E-02      8.0451E+01      1.0660E+02      1.0000E+00
      2.0645E-02      1.4454E+00      1.2639E+00      1.9175E+00      1.3041E-02      5.5431E+01      1.1608E+02      1.0000E+00
      2.6305E-02      1.7323E+00      1.6162E+00      2.3153E+00      1.3148E-02      5.1345E+01      1.3733E+02      1.0000E+00
      6.4189E-02      1.1467E+00      1.0389E+00      1.2697E+00      5.6431E-02      7.6057E+01      1.0415E+02      1.0000E+00
      6.5219E-02      1.1559E+00      1.0415E+00      1.2895E+00      5.6873E-02      7.5454E+01      1.0435E+02      1.0000E+00
      6.3304E-02      1.0426E+00      1.0032E+00      1.0631E+00      6.1181E-02      8.7077E+01      9.3676E+01      1.0000E+00
      6.7838E-02      1.0593E+00      1.0051E+00      1.1005E+00      6.5668E-02      8.6437E+01      9.2798E+01      1.0000E+00
      6.4859E-02      1.1586E+00      1.0393E+00      1.2896E+00      5.6391E-02      7.6163E+01      1.0425E+02      1.0000E+00
      6.4530E-02      1.1442E+00      1.0410E+00      1.2697E+00      5.6656E-02      7.5333E+01      1.0425E+02      1.0000E+00
      6.7812E-02      1.0595E+00      1.0053E+00      1.1005E+00      6.5632E-02      8.6315E+01      9.2929E+01      1.0000E+00
      6.3251E-02      1.0425E+00      1.0033E+00      1.0627E+00      6.1113E-02      8.6964E+01      9.3803E+01      1.0000E+00
      2.5362E-01      1.1860E+00      1.0467E+00      1.3566E+00      2.1348E-01      7.4755E+01      1.0437E+02      1.0000E+00
      2.7239E-01      1.1433E+00      1.0387E+00      1.2111E+00      2.4565E-01      7.6240E+01      1.0402E+02      1.0000E+00
      5.2382E-02      1.0812E+00      1.0261E+00      1.1974E+00      4.5116E-02      8.4401E+01      1.0202E+02      1.0000E+00
      8.1843E-02      1.4932E+00      1.3403E+00      1.9580E+00      5.2314E-02      5.2285E+01      1.2149E+02      1.0000E+00
      1.0606E-01      1.7033E+00      1.5980E+00      2.2958E+00      5.3869E-02      5.1919E+01      1.3649E+02      1.0000E+00
      8.2213E-02      1.4897E+00      1.3366E+00      1.9512E+00      5.2519E-02      5.2263E+01      1.2116E+02      1.0000E+00
      5.2639E-02      1.0791E+00      1.0261E+00      1.1938E+00      4.5298E-02      8.4317E+01      1.0208E+02      1.0000E+00
      1.0852E-01      1.6935E+00      1.6091E+00      2.3105E+00      5.3912E-02      5.2538E+01      1.3677E+02      1.0000E+00
      2.7307E-01      1.1438E+00      1.0436E+00      1.2108E+00      2.4374E-01      7.5126E+01      1.0600E+02      1.0000E+00
      2.5569E-01      1.1798E+00      1.0429E+00      1.3563E+00      2.1598E-01      7.5899E+01      1.0359E+02      1.0000E+00
      5.2640E-02      1.0789E+00      1.0262E+00      1.1935E+00      4.5306E-02      8.4256E+01      1.0212E+02      1.0000E+00
      8.2070E-02      1.4907E+00      1.3358E+00      1.9510E+00      5.2514E-02      5.2349E+01      1.2127E+02      1.0000E+00
      1.0848E-01      1.6961E+00      1.6017E+00      2.3133E+00      5.3888E-02      5.2678E+01      1.3661E+02      1.0000E+00
      8.1994E-02      1.4921E+00      1.3409E+00      1.9581E+00      5.2321E-02      5.2204E+01      1.2136E+02      1.0000E+00
      5.2384E-02      1.0813E+00      1.0259E+00      1.1977E+00      4.5113E-02      8.4448E+01      1.0199E+02      1.0000E+00
      1.0621E-01      1.7038E+00      1.6055E+00      2.2974E+00      5.3900E-02      5.1744E+01      1.3666E+02      1.0000E+00
      1.6716E-02      1.0772E+00      1.0256E+00      1.1023E+00      1.6250E-02      7.8044E+01      1.0162E+02      1.0000E+00
      1.5604E-02      1.0605E+00      1.0262E+00      1.0645E+00      1.5017E-02      7.8267E+01      1.0294E+02      1.0000E+00
      1.5787E-02      1.0538E+00      1.0141E+00      1.0693E+00      1.5331E-02      8.0970E+01      9.8745E+01      1.0000E+00
      1.6903E-02      1.0669E+00      1.0143E+00      1.1027E+00      1.6303E-02      8.2133E+01      9.9032E+01      1.0000E+00
      1.9765E-02      1.5074E+00      1.4037E+00      1.9528E+00      1.2914E-02      5.0524E+01      1.2512E+02      1.0000E+00
      1.2997E-02      1.0844E+00      1.0194E+00      1.2141E+00      1.1277E-02      8.2349E+01      9.7340E+01      1.0000E+00
      2.6172E-02      1.7125E+00      1.6272E+00      2.2891E+00      1.3143E-02      5.1311E+01      1.3754E+02      1.0000E+00
      1.2982E-02      1.0902E+00      1.0467E+00      1.1916E+00      1.1118E-02      8.0479E+01      1.0656E+02      1.0000E+00
      2.0680E-02      1.4480E+00      1.2660E+00      1.9213E+00      1.3045E-02      5.5307E+01      1.1620E+02      1.0000E+00
      2.6331E-02      1.7309E+00      1.6146E+00      2.3150E+00      1.3190E-02      5.1349E+01      1.3724E+02      1.0000E+00
      1.6721E-02      1.0775E+00      1.0256E+00      1.1027E+00      1.6254E-02      7.8036E+01      1.0163E+02      1.0000E+00
      1.5605E-02      1.0607E+00      1.0262E+00      1.0648E+00      1.5017E-02      7.8254E+01      1.0296E+02      1.0000E+00
      1.5785E-02      1.0536E+00      1.0141E+00      1.0691E+00      1.5330E-02      8.0966E+01      9.8746E+01      1.0000E+00
      1.6897E-02      1.0667E+00      1.0143E+00      1.1023E+00      1.6299E-02      8.2129E+01      9.9035E+01      1.0000E+00
      1.9796E-02      1.5103E+00      1.4066E+00      1.9567E+00      1.2917E-02      5.0412E+01      1.2524E+02      1.0000E+00
      1.2999E-02      1.0843E+00      1.0194E+00      1.2138E+00      1.1280E-02      8.2336E+01      9.7310E+01      1.0000E+00
      2.6197E-02      1.7111E+00      1.6256E+00      2.2887E+00      1.3185E-02      5.1314E+01      1.3745E+02      1.0000E+00
      1.2980E-02      1.0904E+00      1.0469E+00      1.1919E+00      1.1114E-02      8.0451E+01      1.0660E+02      1.0000E+00
      2.0645E-02      1.4454E+00      1.2640E+00      1.9175E+00      1.3041E-02      5.5430E+01      1.1608E+02      1.0000E+00
      2.6306E-02      1.7323E+00      1.6162E+00      2.3153E+00      1.3148E-02      5.1345E+01      1.3733E+02      1.0000E+00
      6.4184E-02      1.1467E+00      1.0388E+00      1.2697E+00      5.6428E-02      7.6056E+01      1.0415E+02      1.0000E+00
      6.5217E-02      1.1560E+00      1.0415E+00      1.2896E+00      5.6868E-02      7.5451E+01      1.0435E+02      1.0000E+00
      6.3250E-02      1.0425E+00      1.0032E+00      1.0629E+00      6.1111E-02      8.7076E+01      9.3694E+01      1.0000E+00
      6.7811E-02      1.0595E+00      1.0052E+00      1.1006E+00      6.5632E-02      8.6430E+01      9.2817E+01      1.0000E+00
      6.4861E-02      1.1586E+00      1.0393E+00      1.2895E+00      5.6395E-02      7.6165E+01      1.0424E+02      1.0000E+00
      6.4536E-02      1.1442E+00      1.0410E+00      1.2697E+00      5.6661E-02      7.5333E+01      1.0425E+02      1.0000E+00
      6.7838E-02      1.0593E+00      1.0053E+00      1.1005E+00      6.5667E-02      8.6322E+01      9.2910E+01      1.0000E+00
      6.3305E-02      1.0426E+00      1.0033E+00      1.0629E+00      6.1184E-02      8.6965E+01      9.3785E+01      1.0000E+00
      1.6716E-02      1.0772E+00      1.0256E+00      1.1023E+00      1.6250E-02      7.8044E+01      1.0162E+02      1.0000E+00
      1.5604E-02      1.0605E+00      1.0262E+00      1.0645E+00      1.5017E-02      7.8267E+01      1.0294E+02      1.0000E+00
      1.5787E-02      1.0538E+00      1.0141E+00      1.0693E+00      1.5331E-02      8.0970E+01      9.8745E+01      1.0000E+00
      1.6903E-02      1.0669E+00      1.0143E+00      1.1027E+00      1.6303E-02      8.2133E+01      9.9032E+01      1.0000E+00
      1.9765E-02      1.5074E+00      1.4037E+00      1.9528E+00      1.2914E-02      5.0523E+01      1.2512E+02      1.0000E+00
      1.2997E-02      1.0844E+00      1.0194E+00      1.2141E+00      1.1277E-02      8.2349E+01      9.7340E+01      1.0000E+00
      2.6173E-02      1.7125E+00      1.6272E+00      2.2891E+00      1.3143E-02      5.1312E+01      1.3754E+02      1.0000E+00
      1.2982E-02      1.0902E+00      1.0467E+00      1.1916E+00      1.1118E-02      8.0479E+01      1.0656E+02      1.0000E+00
      2.0680E-02      1.4480E+00      1.2660E+00      1.9213E+00      1.3045E-02      5.5307E+01      1.1620E+02      1.0000E+00
      2.6331E-02      1.7309E+00      1.6146E+00      2.3150E+00      1.3190E-02      5.1349E+01      1.3724E+02      1.0000E+00
      1.6721E-02      1.0775E+00      1.0256E+00      1.1027E+00      1.6254E-02      7.8036E+01      1.0163E+02      1.0000E+00
      1.5605E-02      1.0607E+00      1.0262E+00      1.0648E+00      1.5017E-02      7.8254E+01      1.0296E+02      1.0000E+00
      1.5785E-02      1.0536E+00      1.0141E+00      1.0691E+00      1.5330E-02      8.0966E+01      9.8746E+01      1.0000E+00
      1.6897E-02      1.0667E+00      1.0143E+00      1.1023E+00      1.6299E-02      8.2129E+01      9.9035E+01      1.0000E+00
      1.9796E-02      1.5103E+00      1.4066E+00      1.9567E+00      1.2917E-02      5.0412E+01      1.2524E+02      1.0000E+00
      1.2999E-02      1.0843E+00      1.0194E+00      1.2138E+00      1.1280E-02      8.2336E+01      9.7309E+01      1.0000E+00
      2.6197E-02      1.7111E+00      1.6256E+00      2.2887E+00      1.3185E-02      5.1314E+01      1.3745E+02      1.0000E+00
      1.2980E-02      1.0904E+00      1.0469E+00      1.1919E+00      1.1114E-02      8.0451E+01      1.0660E+02      1.0000E+00
      2.0645E-02      1.4454E+00      1.2639E+00      1.9175E+00      1.3041E-02      5.5431E+01      1.1608E+02      1.0000E+00
      2.6305E-02      1.7323E+00      1.6162E+00      2.3153E+00      1.3148E-02      5.1345E+01      1.3733E+02      1.0000E+00
      6.4189E-02      1.1467E+00      1.0389E+00      1.2697E+00      5.6431E-02      7.6057E+01      1.0415E+02      1.0000E+00
      6.5219E-02      1.1559E+00      1.0415E+00      1.2895E+00      5.6873E-02      7.5454E+01      1.0435E+02      1.0000E+00
      6.3304E-02      1.0426E+00      1.0032E+00      1.0631E+00      6.1181E-02      8.7077E+01      9.3676E+01      1.0000E+00
      6.7838E-02      1.0593E+00      1.0051E+00      1.1005E+00      6.5668E-02      8.6437E+01      9.2798E+01      1.0000E+00
      6.4859E-02      1.1586E+00      1.0393E+00      1.2896E+00      5.6391E-02      7.6163E+01      1.0425E+02      1.0000E+00
      6.4530E-02      1.1442E+00      1.0410E+00      1.2697E+00      5.6656E-02      7.5333E+01      1.0425E+02      1.0000E+00
      6.7812E-02      1.0595E+00      1.0053E+00      1.1005E+00      6.5632E-02      8.6315E+01      9.2929E+01      1.0000E+00
